timestamps,TP9,AF7,AF8,TP10,Right AUX,Secondary Timestamp
1652668544.273,-65.430,-1000.000,-64.453,-51.270,322.754,26705.193
1652668544.277,-122.559,-395.020,-95.215,-95.215,55.664,26705.196
1652668544.294,-56.641,239.258,-86.426,-46.875,-143.555,26705.199
1652668544.298,4.883,105.957,-68.359,-2.441,-34.668,26705.203
1652668544.302,-30.762,180.664,-50.781,-31.738,-75.195,26705.207
1652668544.306,-83.008,301.758,-35.156,-67.871,-178.711,26705.211
1652668544.310,-54.688,124.023,-36.133,-40.527,-164.551,26705.215
1652668544.314,8.789,-213.867,-43.945,-6.348,64.453,26705.219
1652668544.318,-19.531,-165.527,-46.387,-38.086,55.664,26705.223
1652668544.321,-78.613,-53.223,-35.156,-64.941,-138.184,26705.227
1652668544.325,-62.500,-160.156,-38.574,-43.457,-104.004,26705.231
1652668544.329,-0.488,-748.535,-59.570,1.953,152.344,26705.234
1652668544.333,-2.930,-392.578,-65.918,-17.090,121.094,26705.238
1652668544.337,-89.844,369.629,-64.941,-89.844,-131.348,26705.242
1652668544.339,-105.957,33.691,-71.777,-87.891,-104.004,26705.245
1652668544.343,-19.531,42.480,-57.617,-23.438,-28.809,26705.249
1652668544.347,17.578,410.645,-63.965,-1.465,-9.277,26705.253
1652668544.351,-43.457,378.418,-47.852,-34.180,-65.430,26705.257
1652668544.355,-84.473,-66.406,-43.457,-49.316,-149.902,26705.260
1652668544.359,-53.711,-283.203,-87.402,-31.738,-76.660,26705.264
1652668544.363,18.555,-79.102,-67.383,11.230,54.199,26705.268
1652668544.366,-35.156,-36.621,-49.805,-39.062,65.918,26705.272
1652668544.370,-104.004,-535.156,-42.969,-82.031,119.629,26705.276
1652668544.374,-44.434,-936.523,-23.926,-19.043,205.078,26705.280
1652668544.378,32.715,-198.242,-41.504,26.855,68.848,26705.284
1652668544.382,-9.277,92.773,-80.078,-21.484,-49.805,26705.288
1652668544.384,-99.121,-237.793,-80.078,-80.566,-41.016,26705.289
1652668544.388,-108.887,-36.133,-74.219,-78.125,-98.633,26705.293
1652668544.392,-12.207,374.023,-68.359,-14.648,-99.121,26705.297
1652668544.396,23.926,241.211,-56.152,0.000,-55.664,26705.301
1652668544.400,-78.125,-41.016,-56.641,-70.801,-126.953,26705.305
1652668544.404,-106.934,-176.758,-47.363,-75.684,-129.883,26705.309
1652668544.408,-20.996,-151.367,-37.109,-13.672,-78.125,26705.313
1652668544.411,42.480,-120.605,-42.969,21.484,-63.477,26705.317
1652668544.415,-19.531,-653.320,-48.340,-20.996,72.266,26705.320
1652668544.419,-89.355,-365.723,-30.762,-63.477,-22.461,26705.324
1652668544.423,-46.387,336.426,-25.391,-27.832,-178.223,26705.328
1652668544.427,14.160,115.234,-65.430,2.441,-8.301,26705.332
